Date,Baseline,Arizona_11,Arizona_22,Arizona_23,Arizona_31,Arizona_32,Arizona_33,Arizona_31_33,Arizona_42,Arizona_44,Arizona_45,Arizona_44_45,Arizona_48,Arizona_49,Arizona_48_49,Arizona_51,Arizona_52,Arizona_53,Arizona_54,Arizona_56,Arizona_61,Arizona_62,Arizona_71,Arizona_72,Arizona_81,Arizona_92,Arizona_Total,MARICOPA_11,MARICOPA_22,MARICOPA_23,MARICOPA_31,MARICOPA_32,MARICOPA_33,MARICOPA_31_33,MARICOPA_42,MARICOPA_44,MARICOPA_45,MARICOPA_44_45,MARICOPA_48,MARICOPA_49,MARICOPA_48_49,MARICOPA_51,MARICOPA_52,MARICOPA_53,MARICOPA_54,MARICOPA_56,MARICOPA_61,MARICOPA_62,MARICOPA_71,MARICOPA_72,MARICOPA_81,MARICOPA_92,MARICOPA_Total,PINAL_11,PINAL_22,PINAL_23,PINAL_31,PINAL_32,PINAL_33,PINAL_31_33,PINAL_42,PINAL_44,PINAL_45,PINAL_44_45,PINAL_48,PINAL_49,PINAL_48_49,PINAL_51,PINAL_52,PINAL_53,PINAL_54,PINAL_56,PINAL_61,PINAL_62,PINAL_71,PINAL_72,PINAL_81,PINAL_92,PINAL_Total,Auto,Electronics,HomeImprovement,Grocery,Gas,GeneralMerch,Hotels,Restaurants
3/2/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3/9/2020,1,0.881064163,0.80297442,0.997091424,0.940876251,0.951547585,0.889771742,0.931196626,0.969633135,1.003595655,1.015326443,1.008115049,0.902518799,0.951462936,0.906631212,0.726560726,0.903807615,0.98498837,0.898156163,0.965899801,0.511649605,0.792606753,0.794002679,0.900733838,0.818167372,0.905443184,0.879085967,0.888888889,0.688555743,0.997547451,0.935617861,0.946901083,0.892409595,0.927464466,0.976115525,1.006631961,1.01288999,1.009052167,0.909053332,0.927296474,0.910139344,0.690661326,0.883532111,0.984603986,0.879855761,0.881329726,0.44372939,0.760630598,0.75771877,0.888802655,0.799350746,0.931582708,0.861059623,0.5,0.978342046,0.886503067,0.793201133,0.865168539,0.766666667,0.80075188,0.910526316,0.974068023,1.030228901,0.993036157,0.8671875,0.935656836,0.889570552,0.84351145,0.899399399,1.005620356,0.995,0.846153846,0.530665655,0.709615385,0.858407499,0.942149146,0.829556513,0.858477971,0.877082047,0.948752529,0.960923521,1.018049155,1.093209883,0.917623247,1.071344963,0.878936782,0.890930047
3/16/2020,1,0.549295775,0.257584771,0.840893012,0.535096441,0.738356957,0.717856111,0.627424541,0.86754602,0.801579465,0.734750151,0.775832857,0.516216872,0.800904205,0.540137039,0.281498297,0.675747722,0.636826574,0.737274931,0.747401612,0.141312122,0.526536115,0.469510927,0.514890251,0.573015507,0.770860056,0.566157339,0.548821549,0.323268581,0.849434848,0.521948457,0.712839638,0.700501253,0.616964695,0.886024084,0.795505488,0.721017637,0.766698337,0.490740911,0.781308954,0.508038391,0.255851398,0.645402052,0.622752957,0.709446539,0.75879397,0.134938408,0.510564721,0.442556552,0.495404398,0.558237049,0.771763725,0.547818769,0.3,0.063480209,0.874233129,0.291784703,1.168539326,0.722222222,0.511278195,0.980701754,0.833863063,0.853515056,0.840500452,0.65625,0.954423592,0.753724803,0.58778626,0.870870871,0.787889287,0.85,0.788461538,0.117276693,0.52862426,0.642775989,0.654973492,0.596413179,0.811748999,0.637939065,0.735348442,0.6995671,0.920805598,0.909364065,0.733265867,0.808452491,0.461235632,0.503227169
3/23/2020,1,0.604068858,0.242593694,0.823284333,0.435606814,0.679490888,0.67104883,0.550254123,0.805613171,0.739597048,0.644479417,0.702952107,0.309619011,0.826153715,0.353019595,0.226844495,0.57076417,0.544938592,0.687629848,0.658063763,0.137835357,0.470013105,0.406520974,0.444100842,0.5511675,0.701364907,0.499309577,0.604377104,0.300253378,0.827575176,0.437836307,0.649973362,0.641424991,0.544750115,0.820516664,0.734324745,0.631804886,0.694676601,0.269873055,0.785952692,0.300595212,0.202521206,0.533044202,0.535384531,0.658252745,0.741785852,0.125401727,0.45145759,0.383011164,0.434973737,0.534331418,0.659342622,0.482138385,0.7,0.063480209,0.742331288,0.252124646,0.921348315,0.911111111,0.47556391,0.871929825,0.791534234,0.790436251,0.791163395,0.484375,0.903485255,0.62138475,0.505089059,0.70045045,0.706586596,1.0675,0.715384615,0.137151527,0.475591716,0.587010036,0.575799332,0.600583901,0.800066756,0.587914258,0.720982732,0.638556999,1.014614269,0.786867548,0.737593369,0.719477546,0.356206897,0.446668258
3/30/2020,1,0.547730829,0.216537775,0.695306973,0.387353351,0.562048019,0.570210922,0.472876258,0.716845994,0.681649159,0.597847371,0.649363751,0.238906408,0.813955472,0.28722352,0.185726447,0.523102809,0.506641831,0.578904086,0.572696485,0.115655019,0.403691674,0.340881657,0.40262007,0.473915161,0.630521296,0.449667081,0.548821549,0.26879223,0.696310514,0.390163315,0.545196235,0.536161833,0.467583677,0.725028731,0.672518859,0.58436823,0.638427817,0.200788125,0.77100566,0.234733105,0.170711593,0.481504829,0.498044555,0.547724417,0.637611133,0.1046049,0.385489491,0.32123632,0.393885248,0.4587845,0.589019888,0.432737942,0.3,0.061239731,0.610429448,0.203966006,0.808988764,0.888888889,0.421052632,0.854385965,0.745759691,0.740870173,0.744108274,0.436197917,0.914209115,0.592462752,0.421119593,0.688438438,0.673249413,0.7425,0.715384615,0.117200834,0.40806213,0.477040333,0.531447789,0.49965244,0.749332443,0.536623768,0.649359407,0.535064935,0.952316948,0.729012221,0.686463303,0.694014882,0.292485632,0.40755969
4/6/2020,1,0.564945227,0.182748364,0.678484396,0.361503281,0.535001446,0.563998844,0.45144003,0.660163339,0.627741762,0.544709104,0.595752667,0.200627548,0.789217777,0.250082424,0.166572077,0.456006352,0.468584804,0.5533241,0.542216513,0.103606487,0.370341212,0.311781411,0.374149032,0.430039728,0.572011182,0.413302428,0.558922559,0.238386824,0.69321817,0.360332295,0.51021133,0.536877909,0.444245759,0.677009944,0.621436454,0.53097218,0.586450641,0.167067771,0.728776665,0.200506233,0.152529061,0.415920724,0.459176324,0.521007485,0.609972942,0.093753356,0.353461878,0.297194944,0.368061719,0.416234187,0.525008932,0.398431676,0.6,0.028379388,0.496932515,0.152974504,0.674157303,0.522222222,0.302631579,0.828070175,0.703312045,0.694391054,0.700299012,0.352864583,0.865951743,0.520595968,0.375318066,0.566066066,0.654155599,0.79,0.715384615,0.103963588,0.371745562,0.453370574,0.505523507,0.440845266,0.654205607,0.50473365,0.578820839,0.48023088,0.858998976,0.684180857,0.641569081,0.639485178,0.272729885,0.381178533
4/13/2020,1,0.582159624,0.147531231,0.663705684,0.360973023,0.526468036,0.580034672,0.452961311,0.697530464,0.640992615,0.563622628,0.611185117,0.17810781,0.739315875,0.225261966,0.177922815,0.476745945,0.494952801,0.54484072,0.533107556,0.098460799,0.357813281,0.31356774,0.411618959,0.42678457,0.539450748,0.427503506,0.565656566,0.181165541,0.677010023,0.35816105,0.499378441,0.553705693,0.444704264,0.712886624,0.636526882,0.555640161,0.605245056,0.148062756,0.679872297,0.179721313,0.1660776,0.431276633,0.489437158,0.52647107,0.60514109,0.089159195,0.341581243,0.298302817,0.406810046,0.413059109,0.511551745,0.414356651,0.8,0.044809559,0.466257669,0.150141643,0.640449438,0.6,0.308270677,0.905263158,0.68287539,0.676218766,0.680627139,0.303385417,0.927613941,0.507449606,0.384223919,0.608108108,0.655618432,0.7525,0.630769231,0.092509008,0.367529586,0.429274759,0.539155009,0.451550118,0.581441923,0.502409858,0.589023425,0.508167388,1.031724697,0.663456323,0.662069298,0.650287989,0.275977011,0.423141112
4/20/2020,1,0.641627543,0.17656157,0.746718025,0.397295685,0.575209719,0.643022248,0.498634305,0.743161784,0.702245168,0.612859826,0.667808643,0.206159673,0.806619466,0.25661186,0.191345062,0.493553144,0.532951915,0.595481302,0.589629803,0.107411781,0.387274544,0.343723455,0.444544133,0.4757401,0.585232692,0.46493201,0.646464646,0.224028716,0.760609938,0.395449825,0.54892559,0.622269961,0.493168271,0.73996902,0.690811111,0.599536811,0.655512032,0.172450536,0.746190684,0.206605216,0.174913604,0.444867495,0.524795044,0.570890018,0.649787399,0.096946219,0.370798104,0.322555346,0.434891979,0.457303747,0.548886507,0.447192761,0.6,0.035100822,0.417177914,0.130311615,0.775280899,0.866666667,0.362781955,0.842105263,0.747096391,0.732133496,0.742042727,0.321614583,1.08847185,0.572304996,0.461832061,0.62987988,0.711052085,0.755,0.753846154,0.102598141,0.387573964,0.459998106,0.581614779,0.49520367,0.654205607,0.544212797,0.649916444,0.53974026,1.135710019,0.716445612,0.72093875,0.704503148,0.328821839,0.449321001
4/27/2020,1,0.72456964,0.16097561,0.733354296,0.397958507,0.59545849,0.677694308,0.512118383,0.759139227,0.715918198,0.637014103,0.68551967,0.219266191,0.793738804,0.267534869,0.188507378,0.523745604,0.550892873,0.596476801,0.570827981,0.108819758,0.395847279,0.341550316,0.461521443,0.479477124,0.58240421,0.477169469,0.695286195,0.209248311,0.74141608,0.382327952,0.557272243,0.66254923,0.499266392,0.749612752,0.700757239,0.620259639,0.669625901,0.184474492,0.735306922,0.217265479,0.172086082,0.472603949,0.539694246,0.57099929,0.634905296,0.098960421,0.379620744,0.314992198,0.44850283,0.458271932,0.526497559,0.456575109,1.3,0.026885736,0.426380368,0.203966006,0.764044944,0.8,0.398496241,0.852631579,0.745937918,0.759450172,0.750501633,0.307291667,1.09383378,0.564417178,0.403307888,0.752252252,0.73091581,0.825,0.730769231,0.106011758,0.414127219,0.438127249,0.588527921,0.493535382,0.652202937,0.551123419,0.659386086,0.540663781,1.103857314,0.732139248,0.740581177,0.724948564,0.335416667,0.463537298
5/4/2020,1,0.749608764,0.150386675,0.721091109,0.429773978,0.604859705,0.661225079,0.527020019,0.752625097,0.745091305,0.679560492,0.719844957,0.226981432,0.809434445,0.275920643,0.203433598,0.524161531,0.604462546,0.59171572,0.566156721,0.115153779,0.414689854,0.353848576,0.487736024,0.485285147,0.593422135,0.503139591,0.742424242,0.195734797,0.732352314,0.415179836,0.554963594,0.641245972,0.509170105,0.725528407,0.728221892,0.660659384,0.702093022,0.19296199,0.737483674,0.225377299,0.185634621,0.47499937,0.594283396,0.561656559,0.627754155,0.106021913,0.396000534,0.329742804,0.475280197,0.463782044,0.544539717,0.482523896,1.1,0.047050037,0.432515337,0.150141643,0.808988764,0.622222222,0.340225564,0.935087719,0.762512996,0.788339449,0.771235787,0.421875,1.016085791,0.616126205,0.410941476,0.702702703,0.774877776,0.6625,0.757692308,0.122738479,0.419304734,0.441630373,0.621598898,0.502989017,0.668558077,0.572883021,0.662552406,0.573391053,1.071257894,0.773572363,0.754219074,0.750127623,0.328678161,0.493738804
