Date,Baseline,Arizona_11,Arizona_22,Arizona_23,Arizona_31,Arizona_32,Arizona_33,Arizona_31_33,Arizona_42,Arizona_44,Arizona_45,Arizona_44_45,Arizona_48,Arizona_49,Arizona_48_49,Arizona_51,Arizona_52,Arizona_53,Arizona_54,Arizona_55,Arizona_56,Arizona_61,Arizona_62,Arizona_71,Arizona_72,Arizona_81,Arizona_92,Arizona_Total,MARICOPA_11,MARICOPA_22,MARICOPA_23,MARICOPA_31,MARICOPA_32,MARICOPA_33,MARICOPA_31_33,MARICOPA_42,MARICOPA_44,MARICOPA_45,MARICOPA_44_45,MARICOPA_48,MARICOPA_49,MARICOPA_48_49,MARICOPA_51,MARICOPA_52,MARICOPA_53,MARICOPA_54,MARICOPA_55,MARICOPA_56,MARICOPA_61,MARICOPA_62,MARICOPA_71,MARICOPA_72,MARICOPA_81,MARICOPA_92,MARICOPA_Total,PINAL_11,PINAL_22,PINAL_23,PINAL_31,PINAL_32,PINAL_33,PINAL_31_33,PINAL_42,PINAL_44,PINAL_45,PINAL_44_45,PINAL_48,PINAL_49,PINAL_48_49,PINAL_51,PINAL_52,PINAL_53,PINAL_54,PINAL_56,PINAL_61,PINAL_62,PINAL_71,PINAL_72,PINAL_81,PINAL_92,PINAL_Total,Auto,Electronics,HomeImprovement,Grocery,Gas,GeneralMerch,Hotels,Restaurants
3/2/2020,1,1.03902439,1.30370834,0.973501336,1.090882525,1.076971019,0.991468531,1.061527737,1.012017056,1.075464794,1.13817222,1.098865275,0.879265796,0.977479715,0.886982202,1.117956836,1.008930825,1.11075315,0.990454897,1.148984199,0.950030175,1.25919474,1.048765998,1.040403586,1.076034553,1.034139614,1.106850658,1.087441097,1.127134725,1.274831763,0.938712566,1.106071845,1.095562476,0.965936323,1.063329578,0.980433959,1.061646613,1.140873436,1.090942997,0.867186666,0.981976908,0.873511408,1.107257062,1.006646071,1.102392077,0.982596983,1.148984199,0.92546457,1.261300178,1.05414587,1.03409696,1.061579327,1.025523159,1.121507108,1.078727941,0.476190476,1.29748062,1.617486339,1.446721311,1.589285714,0.756302521,1.269689737,1.055555556,1.137123176,1.207256076,1.159999081,1.030872483,0.98938992,1.016934046,0.90258216,0.997752809,1.177027639,1.092896175,1.135371179,1.361457582,1.069736112,1.024237686,1.126695151,1.11038961,1.166236003,1.150506317,0.954749979,0.957054519,1.054991251,1.107517667,1.1281921,1.23668525,0.84849164,1.088889953
3/9/2020,1,0.863496933,1.255980411,0.98503644,0.986068111,1.021587203,0.879682495,0.966836735,0.989599346,1.075231914,1.139303696,1.099310956,0.754267315,0.956709957,0.769151559,0.836405453,0.956810631,1.073877988,0.939797961,1.351898734,0.882965336,1.127645009,0.960286252,0.834158718,0.929398557,0.882748758,1.034496169,0.991023855,0.947935368,1.158025568,0.974377593,1.002369424,1.043861367,0.866232207,0.974182611,0.992400316,1.071668821,1.141507588,1.097773807,0.73804102,0.929173211,0.747843281,0.840123245,0.93863549,1.066121678,0.919995402,1.351898734,0.835746794,1.084115206,0.945359612,0.806523807,0.915361287,0.869650274,1.046779945,0.975915994,0.2,1.366006257,1.011152416,1.261261261,1.149253731,0.726315789,1.109375,0.897923875,1.143463617,1.216899855,1.168236033,0.911080711,0.953551913,0.925250684,0.706709957,0.876371617,1.16412656,1.036458333,0.948275862,1.365139578,0.988429752,0.906289467,1.033734195,0.942237696,1.034252669,1.085156083,0.889924594,0.90433324,1.09901749,1.211308354,1.01977241,1.297762944,0.685360574,0.947471873
3/16/2020,1,0.488178025,0.499535747,0.728667894,0.554254435,0.732835392,0.664233577,0.626057937,0.846650047,0.805683263,0.785265913,0.798084452,0.426148292,0.771956857,0.452486396,0.321638207,0.686714402,0.667589188,0.703991039,0.868921776,0.609574907,0.261046111,0.603818622,0.442111019,0.501422557,0.573123489,0.833462891,0.59770526,0.512578616,0.457698057,0.733853927,0.565812675,0.719074937,0.645313773,0.628687834,0.837553904,0.791100883,0.767575911,0.782371152,0.394903673,0.758563764,0.414208616,0.301735265,0.650920944,0.645646504,0.672758513,0.868921776,0.67051356,0.243333965,0.586395441,0.418009303,0.477244487,0.559571446,0.824199384,0.573460628,0.107142857,0.410628019,0.980314961,0.420408163,1.106382979,0.637254902,0.616780045,1.062737643,0.935644891,1.026317636,0.964942516,0.685714286,1.065868263,0.804490178,0.480128894,0.875471698,0.900994893,1.036585366,0.721830986,0.397633873,0.631354426,0.599732739,0.706117825,0.645472352,0.913445378,0.771258383,0.657024464,0.642818132,0.89260178,0.944153837,0.74936151,0.939992166,0.334013426,0.501223407
3/23/2020,1,0.600311042,0.308053285,0.72837274,0.450758621,0.692546125,0.64720294,0.558416603,0.791859303,0.769572822,0.723706808,0.752653977,0.27749715,0.804301428,0.320065004,0.246886586,0.568032584,0.599014116,0.660014998,0.5781893,0.552813853,0.167825564,0.48341988,0.416194098,0.451294414,0.530865672,0.767157231,0.526355242,0.645683453,0.358366935,0.735777736,0.468015865,0.664968153,0.617702128,0.560533887,0.788469553,0.754226012,0.71072496,0.738308481,0.237748478,0.767170806,0.267999144,0.222900423,0.52513755,0.582673158,0.626840731,0.5781893,0.683210784,0.154198434,0.463571265,0.399677401,0.438225541,0.508579884,0.712415197,0.506078725,0.269230769,0.087268994,0.835249042,0.356,1.171428571,0.625954198,0.56097561,0.822847682,0.921052632,1.000443033,0.946465291,0.455882353,0.994100295,0.613852814,0.43660419,0.730618637,0.847062624,1.334375,0.673913043,0.217950209,0.51377921,0.588328,0.659266128,0.67692791,0.872532895,0.692518259,0.656644114,0.612711816,1.03672546,0.851180723,0.754845301,0.888957126,0.298814415,0.460062961
3/30/2020,1,0.547730829,0.271479714,0.690974391,0.409049456,0.56432621,0.552527592,0.483545815,0.724780632,0.72168941,0.661209116,0.698912731,0.223229347,0.817577925,0.271317829,0.190211144,0.535534338,0.556721376,0.595936997,0.547045952,0.512328448,0.145647673,0.42939555,0.354878993,0.41659848,0.496610664,0.70347617,0.482729164,0.619771863,0.322360091,0.697253566,0.420279506,0.546231962,0.51249156,0.47900656,0.719750381,0.701999298,0.646066787,0.681091721,0.185559122,0.76001132,0.219173318,0.174241788,0.489831084,0.543155051,0.559082497,0.547045952,0.614816424,0.132061563,0.408678723,0.34106923,0.40053149,0.474950004,0.658283405,0.461402261,0.06,0.078020932,0.564417178,0.260869565,1.014084507,0.683760684,0.482758621,0.841105354,0.92832701,0.903156997,0.91968254,0.522620905,1.03021148,0.695473251,0.472913616,0.727777778,0.793331821,1.068345324,0.885714286,0.162071217,0.445273428,0.521001826,0.64388368,0.612506407,0.82885906,0.644325748,0.631896353,0.494007697,0.959775471,0.793525956,0.724687768,0.827423576,0.24104598,0.425353734
4/6/2020,1,0.661172161,0.2359447,0.630453816,0.382094998,0.516706277,0.552187154,0.458644778,0.650939861,0.653603517,0.597207617,0.63245981,0.191851308,0.755550154,0.240456629,0.168159767,0.458670676,0.512162913,0.521134253,0.477642276,0.481800209,0.126446953,0.383053202,0.329472604,0.393988811,0.420177384,0.625795821,0.440644361,0.734513274,0.291505293,0.635744184,0.392680412,0.498090941,0.519547325,0.455950033,0.65817301,0.640203043,0.582962756,0.618881536,0.157767121,0.681879015,0.190610376,0.155525921,0.411090789,0.50005536,0.48758929,0.477642276,0.588957055,0.116559282,0.366544396,0.319821759,0.385318985,0.405014566,0.575449143,0.424492268,0.162162162,0.038038038,0.440993789,0.198529412,0.821917808,0.460784314,0.360178971,0.892249527,0.856644627,0.835674157,0.849494804,0.407518797,0.856763926,0.570057582,0.399153738,0.600318471,0.756859077,0.890140845,0.694029851,0.140747691,0.387972159,0.463469209,0.600549375,0.483999388,0.745894555,0.58874966,0.5512129,0.445787121,0.8527496,0.733872848,0.683430254,0.749122307,0.246096654,0.406412881
4/13/2020,1,0.644714038,0.201203643,0.58888503,0.375353229,0.504088704,0.56791148,0.455515646,0.657337209,0.642056982,0.584636947,0.62031972,0.170789698,0.672340753,0.216343463,0.184421465,0.475075889,0.522368819,0.523481528,0.428874735,0.433084917,0.130174336,0.368415639,0.332446378,0.429294381,0.389783731,0.569183415,0.448818223,0.678787879,0.234875445,0.60090234,0.388610058,0.488266991,0.539444157,0.456520719,0.657711266,0.631570548,0.579921536,0.61217369,0.140250002,0.604790419,0.170939667,0.173568584,0.424175047,0.515338921,0.506337136,0.428874735,0.550140959,0.121074275,0.353307078,0.32853816,0.425518608,0.374369849,0.536603028,0.437164852,0.25,0.0625,0.505338078,0.219917012,0.904761905,0.529411765,0.403940887,0.950276243,0.816669648,0.753379257,0.794199755,0.381342062,0.935135135,0.590214067,0.428366762,0.612244898,0.71985291,0.746898263,0.596363636,0.133178188,0.382821609,0.465290323,0.639307909,0.460958612,0.590962213,0.582132616,0.542196563,0.466273739,1.062059207,0.661918965,0.687552835,0.697921008,0.253240063,0.450025266
4/20/2020,1,0.664505673,0.21852345,0.665105223,0.400817037,0.54097468,0.57185854,0.479935211,0.714128575,0.675442117,0.6223661,0.655586976,0.186927182,0.775314657,0.235335774,0.14922821,0.453306846,0.52199393,0.529071561,0.518691589,0.486991611,0.125803152,0.390161578,0.274015384,0.433781279,0.450195293,0.492945555,0.450551759,0.711111111,0.267187107,0.678456287,0.412025628,0.523123835,0.537322546,0.477366255,0.711132659,0.650223683,0.596670261,0.630179578,0.152746965,0.700013374,0.185215749,0.139320309,0.398776533,0.522100468,0.546700268,0.518691589,0.579072063,0.11788421,0.374005657,0.251655458,0.429554716,0.429124866,0.390951276,0.432744154,0.24,0.045943304,0.397515528,0.160278746,0.945205479,0.795918367,0.42139738,0.869565217,0.935358517,0.892636073,0.920647753,0.447463768,1.091397849,0.706709957,0.343355965,0.687704918,0.848227406,0.731234867,0.65993266,0.131453628,0.397880022,0.534935223,0.698268938,0.538042656,0.685192537,0.645326474,0.32004208,0.470512157,1.135632925,0.739931502,0.738293116,0.777630512,0.276572452,0.453678876
4/27/2020,1,0.771666667,0.201222239,0.717899431,0.415194958,0.592021889,0.656904338,0.519553852,0.764365427,0.734689128,0.674887429,0.711999127,0.213440717,0.774137503,0.261942761,0.164433965,0.505807619,0.570000812,0.571672568,0.457142857,0.543212921,0.126516349,0.410312371,0.344911008,0.48678575,0.477556725,0.516928033,0.497634103,0.792706334,0.238221154,0.717250591,0.418149834,0.555023923,0.619322874,0.511328527,0.740161955,0.703243039,0.648863523,0.682705624,0.175697208,0.697411444,0.208379206,0.151291513,0.45069872,0.555892562,0.594985977,0.457142857,0.613793103,0.118851174,0.393094723,0.317186358,0.466808987,0.449150634,0.403650336,0.472335308,0.866666667,0.038834951,0.428057554,0.283464567,0.80952381,0.923076923,0.509615385,0.932821497,0.935906555,0.915640611,0.928868146,0.472,1.225225225,0.773109244,0.410832232,0.795238095,0.846991123,0.799031477,0.815450644,0.134784644,0.449712294,0.586781609,0.716176801,0.572074253,0.67604533,0.668272273,0.521934969,0.50082472,1.140756862,0.756399187,0.775408642,0.815710392,0.317909301,0.489559186
5/4/2020,1,0.744945568,0.194835318,0.689813077,0.436552004,0.580909976,0.64894059,0.524677817,0.728320679,0.751926436,0.704616391,0.733916432,0.220037321,0.767262812,0.268771739,0.199911557,0.521954566,0.615167058,0.587108164,0.462151394,0.508558871,0.137859279,0.421004736,0.398765399,0.503691201,0.476739108,0.615689747,0.524815044,0.810661765,0.254111842,0.677942767,0.420824086,0.531628303,0.62193659,0.503467344,0.685444098,0.722246614,0.686006211,0.708591451,0.182871573,0.681638045,0.215070911,0.178092129,0.464787672,0.603495151,0.555651985,0.462151394,0.585249637,0.129039089,0.40179769,0.376970431,0.486606196,0.447024392,0.559176892,0.500999347,0.323529412,0.057692308,0.55982906,0.244239631,1.469387755,0.848484848,0.545180723,0.998127341,0.928750865,0.912054536,0.922900456,0.597785978,1.044077135,0.77679558,0.417322835,0.738170347,0.867106057,0.85483871,0.721611722,0.158191012,0.445996055,0.603716791,0.727720895,0.581657281,0.674597084,0.680679208,0.597250509,0.517378458,1.086335485,0.780963082,0.798004729,0.799167011,0.303971306,0.513075029
