Date,Baseline,Comparison,Avg5Day
3/2/2020,1,0.86036,1
3/3/2020,1,1.0113,1
3/4/2020,1,1.01271,1
3/5/2020,1,1.09095,1
3/6/2020,1,1.02468,1
3/9/2020,1,0.61184,0.950296911
3/10/2020,1,0.5775,0.863536448
3/11/2020,1,0.66862,0.794718438
3/12/2020,1,0.66417,0.709363387
3/13/2020,1,0.61284,0.626995622
3/16/2020,1,0.25979,0.556585737
3/17/2020,1,0.23012,0.487110103
3/18/2020,1,0.25265,0.403914655
3/19/2020,1,0.14169,0.299417941
3/20/2020,1,0.13996,0.204842679
3/23/2020,1,0.17253,0.187390192
3/24/2020,1,0.15867,0.173099783
3/25/2020,1,0.12317,0.147205217
3/26/2020,1,0.13195,0.145257285
3/27/2020,1,0.14892,0.147048897
3/30/2020,1,,0.140678407
3/31/2020,1,,0.1346815
4/1/2020,1,,0.140435074
4/2/2020,1,0.10588,0.127400961
4/3/2020,1,0.13366,0.119773025
4/6/2020,1,0.15525,0.131598115
4/7/2020,1,0.12876,0.130888984
4/8/2020,1,0.13814,0.132338412
4/9/2020,1,0.15538,0.142237255
4/10/2020,1,0.17418,0.15034082
4/13/2020,1,0.16057,0.151405516
4/14/2020,1,0.10927,0.147507453
4/15/2020,1,0.14131,0.14814247
4/16/2020,1,0.14922,0.14691145
4/17/2020,1,0.31725,0.17552421
4/20/2020,1,0.15274,0.173958743
4/21/2020,1,0.14057,0.180219145
4/22/2020,1,0.13106,0.178169313
4/23/2020,1,0.13594,0.175512273
4/24/2020,1,0.15866,0.14379572
4/27/2020,1,0.12944,0.139134864
4/28/2020,1,0.14335,0.139690653
4/29/2020,1,0.12146,0.137771132
4/30/2020,1,0.12041,0.134665406
5/1/2020,1,0.21581,0.146094971
5/4/2020,1,0.2718,0.174567617
5/5/2020,1,0.17685,0.181266369
5/6/2020,1,0.156,0.188173326
5/7/2020,1,0.22775,0.209641916
5/8/2020,1,0.2013,0.206739659
5/11/2020,1,0.21272,0.194923295
5/12/2020,1,0.18696,0.196946918
5/13/2020,1,0.19704,0.205154919
5/14/2020,1,0.19724,0.19905237
5/15/2020,1,0.33564,0.225920536
5/18/2020,1,0.18674,0.220724363
5/19/2020,1,0.20088,0.223507312
5/20/2020,1,0.23255,0.230609068
5/21/2020,1,0.25382,0.241925129
5/22/2020,1,0.40946,0.256689632
5/25/2020,1,0.19987,0.259316261
5/26/2020,1,0.26619,0.272378717
5/27/2020,1,0.18065,0.26199951
5/28/2020,1,0.22036,0.255308894
5/29/2020,1,0.29578,0.232572472
6/1/2020,1,0.22946,0.238489423
6/2/2020,1,0.19398,0.22404783
