Date,Baseline,LitchfieldRd,WildHorsePass,HappyValleyRd,ElliotRd,ThomasRd,Ave67,St56,HawesRd,DysartRd,Ave75,BaselineRd,Total
3/2/2020,1,1,1,1,1,1,1,1,1,1,1,1,1
3/9/2020,1,0.985866526,0.963833963,0.961744345,0.919207238,0.930118214,0.94665656,0.803434556,0.834842875,0.927909064,0.943168231,0.893765497,0.92675506
3/16/2020,1,0.884595849,0.833538257,0.790458467,0.819625351,0.794890829,0.783566353,0.712814231,0.719487604,0.808045305,0.8113975,0.735575925,0.79593081
3/23/2020,1,0.782784648,0.666953235,0.654029751,0.693525146,0.68281017,0.654000543,0.55761143,0.643581829,0.694633291,0.720988241,0.613915264,0.673181911
3/30/2020,1,0.750201942,0.620444776,0.614322417,0.652790967,0.644323155,0.605416533,0.490671292,0.606923799,0.667660376,0.68081456,0.565095267,0.630131251
4/6/2020,1,0.735406424,0.603579945,0.593735246,0.631890015,0.629057255,0.585605095,0.437727504,0.595401489,0.650028554,0.66117116,0.537919618,0.609126466
4/13/2020,1,0.758967872,0.621568882,0.624530159,0.654609879,0.625829326,0.60294099,0.555941009,0.617623088,0.687379327,0.702321469,0.52435351,0.635866992
4/20/2020,1,0.790567808,0.640527827,0.661657582,0.664606808,,0.619721695,0.481349161,0.629456785,0.695891007,0.711971599,0.510101806,0.646480201
4/27/2020,1,0.820801499,0.668599653,0.694075861,0.692476319,0.706716828,0.909837271,0.500182497,0.692494078,0.722316645,0.735231157,0.555090533,0.724403911
5/4/2020,1,0.84971423,0.69640059,0.733396899,0.70932842,0.708666203,0.956711851,0.517407066,0.724976421,0.74122318,0.754478626,0.588169749,0.751441765
5/11/2020,1,0.883712319,0.729186199,0.745347958,0.726826589,0.724326393,0.926514543,,0.713060621,0.77096647,0.778677858,0.628334489,0.788923233
5/18/2020,1,0.941869226,0.779912083,0.831599085,0.774941535,0.734784044,0.95302579,,0.785175188,0.80372148,0.812909952,0.722344859,0.837337581
5/25/2020,1,,0.802590066,0.856467714,0.796033827,0.79732229,0.979128376,0.652483436,0.798291478,,,,0.826764204
6/1/2020,1,0.928816681,0.784573959,0.830834156,0.775461224,0.776741873,1.050608555,0.62206731,0.762929559,0.810825878,0.812886197,0.725794553,0.83495633
6/8/2020,1,0.971326335,0.809927168,0.858872872,0.778962039,0.813915636,0.933623013,0.659008928,0.802654897,0.847823131,0.837724195,0.729317925,0.843371801
6/15/2020,1,0.96830287,0.807750328,0.906925445,0.67201474,0.804031022,1.100445927,0.63668678,0.799132523,0.834899247,0.829995645,0.720365628,0.865511375
